property_id	property_label	description
P12228	KRS number	identifier of a Polish organization of the National Court Register
P12229	Twitch numeric channel ID	numeric identifier of a Twitch channel; use as a qualifier for P5797 "Twitch channel ID"
P12230	RPCS3 Wiki ID	identifier of an article on RPCS3 Wiki
P12231	Black Games Archive ID	identifier of a video game in the Black Games Archive
P12232	Citra compatibility database ID	identifier of a video game in the Citra compatibility database
P12233	DraCor ID	identifier in the DraCor database
P12234	ORBi article ID	unique identifier for a scientific article referenced on the University of Liège's institutional repository
P12235	IGN wiki article ID	identifier of a wiki article on the IGN website
P12236	AreWeAntiCheatYet ID	identifier of a video game in the AreWeAntiCheatYet database
P12237	RPGFan game ID	identifier of a video game in the RPGFan database
P12238	Arcade Hub ID	identifier of a video game in the Arcade Hub database
P12239	Shamela book edition ID	an ID for an edition literally work in Shamela digital library
P12240	HistoriaGames series ID	identifier of a video game series in the HistoriaGames database
P12241	Schnittberichte.com title ID	identifier in the Schnittberichte.com database
P12242	Kemono Games game ID	identifier for a video game in the Kemono Games database
P12243	Internet Game Database event ID	identifier for an event on the Internet Game Database
P12244	Xemu compatibility database ID	identifier of a video game in the xemu compatibility database
P12245	GamesMeter game ID	identifier of a video game in the GamesMeter database
P12246	GameGear.jp ID	identifier of a video game in the GameGear.jp database
P12247	Walmart product ID	identifier of a product on Walmart.com
P12248	Swissubase person ID	identifier for a person in the Swissubase catalog
P12249	RPGWatch game ID	identifier of a video game in the RPGWatch database
P12250	RPGWatch company ID	identifier of a company in the RPGWatch database
P12251	RPGWatch press ID	identifier of a media outlet in the RPGWatch database
P12252	Indie DB company ID	identifier of a company in the Indie DB database
P12253	NIWA article ID	identifier of an article on the Nintendo Independent Wiki Alliance. Format: wiki:Page_title
P12254	turismoroma.it place ID	identifier for a place on the touristic website of Rome (turismoroma.it)
P12255	ScummVM ID	identifier of a video game in the ScummVM compatibility database
P12256	ORBi author ID	unique identifier for a scientific author referenced on the University of Liège's institutional repository
P12257	Abandonware-France game series ID	identifier of a video game series in the Abandonware France database
P12258	Abandonware-France game compilation ID	identifier of a video game compilation in the Abandonware France database
P12259	Abandonware-France person ID	identifier of a person in the Abandonware France database
P12260	Abandonware-France company ID	identifier of a video game company in the Abandonware France database
P12261	Abandonware-France magazine ID	identifier of a video game magazine in the Abandonware France database
P12262	Abandonware-France award ID	identifier of a video game award in the Abandonware France database
P12263	Kanjipedia word ID	identifier of a word on Kanjipedia
P12264	Moviefone movie ID	identifier of a movie in Moviefone
P12265	South African NPO number	registration number for South African nonprofits
P12266	Nigerian registered company ID	registered company number (Registration Number) assigned to a business by the Corporate Affairs Commission (CAC) in Nigeria
P12267	Abandonware-France game ID	identifier of a video game in the Abandonware France database
P12268	AFJV directory ID	identifier of an organization in the AFJV directory
P12269	Abandonware-France book ID	identifier of a book in the Abandonware France database
P12270	Flora of the Hawaiian Islands URL	URL of the entry for a plant genus, species, subspecies, or variety in the Flora of the Hawaiian Islands website
P12271	MilliBase taxon ID	identifier for a Diplopoda (millipede) or parent taxon in the MilliBase database
P12272	Monasticon Hibernicum database ID	identifier for early Christian sites in Ireland in the Monasticon Hibernicum database
P12273	Montana Plant Life URL	URL for a plant family, genus, or species on the Montana Plant Life website
P12274	Rhineland-Palatinate school ID	5-digit number used by the Ministry of Education of Rhineland-Palatinate to identify schools
P12275	plate(s)	plate number(s) in the reference source being cited to support the statement being made
P12276	Enciclopedia di Roma monument ID	identifier for a monument in the website Enciclopedia di Roma (info.roma.it)
P12277	Enciclopedia di Roma street ID	identifier for a street in the website Enciclopedia di Roma (info.roma.it)
P12278	Mid-Atlantic Herbaria Consortium taxon ID	identifier for a plant taxon in the Mid-Atlantic Herbaria Consortium database
P12279	The Criterion Collection spine number	DVD/Blu-ray spine number of a film or film series in The Criterion Collection
P12280	Walk Score ID	identifier of a walkability index of neighborhoods and municipalities in the United States, the United Kingdom, Canada and Australia
P12281	HistoriaGames game ID	identifier of a video game in the HistoriaGames database
P12282	Deutsche Bahn station number	numeric identifier for train stations operated by Deutsche Bahn
P12283	Legends Tour player ID	identifier for a golf player on the Legends Tour
P12284	Moscow Cultural Heritage ID	identifier of the cultural heritage in the Moskomnaslediya database
P12285	USOPC Hall of Fame ID	identifier for an athlete in the U.S. Olympic & Paralympic Hall of Fame
P12288	Cathopedia article ID	identifier for an article on the online encyclopedia Cathopedia (it.cathopedia.org)
P12289	TouchArcade game ID	identifier of a game on TouchArcade
P12290	DoblajeVideojuegos game ID	identifier for a video game in the DoblajeVideojuegos database
P12291	Adventure-Treff game ID	identifier of a video game in the Adventure-Treff database
P12292	Biota of New Zealand ID	identifier for a taxon in the Biota of New Zealand database
P12293	Consortium of Bryophyte Herbaria taxon ID	identifier for a bryophyte taxon in the Consortium of Bryophyte Herbaria gateway
P12294	Consortium of Lichen Herbaria taxon ID	identifier for a lichen taxon in the Consortium of Lichen Herbaria database
P12295	Native Plants Hawaii ID	identifier for a taxon on the Native Plants Hawaii website
P12296	SERNEC taxon ID	identifier for a plant taxon in the SERNEC data portal
P12297	TORCH taxon ID	identifier for a plant taxon in the TORCH Data Portal
P12298	Penstemon Database ID	identifier for a penstemon species or variety in the Penstemon Database
P12299	Digicarmel ID	identifier for an entity in the database Digicarmel by the order of Discalced Carmelites
P12300	Retskrivningsordbogen ID	identifier for the Danish dictionary Retskrivningsordbogen
P12301	MAMCS artwork ID	identifier for an artwork of the Strasbourg Museum of Modern and Contemporary Art
P12302	Sofascore player ID	identifier for a sportsperson on Sofascore
P12303	Mod.io game ID	identifier for a video game on Mod.io
P12304	Sina CBA player ID	identifier for a basketball player of the Chinese Basketball Association on the website cba.sports.sina.com.cn
P12305	turismo.marche.it place ID	identifier for a place on the touristic website of Marche region (turismo.marche.it)
P12306	ISzDb series ID	identifier of a series in the ISzDb (a Hungarian dub database)
P12307	IFTTT service ID	identifier for a service on IFTTT
P12308	National-Football-Teams.com team ID	identifier for a association football (soccer) national team in the National-Football-Teams.com database
P12309	Moviefone person ID	identifier of a person on the website Moviefone
P12310	Commonwealth Games Australia athlete ID	identifier for an athlete at commonwealthgames.com.au
P12311	Team Scotland athlete ID	identifier for an athlete at teamscotland.scot
P12312	Kicker team ID	identifier for a sports team in the Kicker database
P12313	goalzz.com team ID	identifier for a sports team in the goalzz.com database
P12314	vesti.kz team ID	identifier for a sports team in the vesti.kz database
P12315	Am Faclair Beag ID	identifier for an entry in Am Faclair Beag
P12316	tourist information point number	identifier for a tourist information point (guidepost) in the Czech Republic
P12317	Alexandria.dk person ID	identifier for person in the role-playing library Alexandria
P12319	Babelio series ID	identifier for a series on the French literature site Babelio
P12320	Moviebuff ID	identifier for films and film persons from the Moviebuff website
P12321	RCS number	identifier in the trade register of Luxembourg
P12322	underlying structure(s)	mathematical structure(s) obtained by deleting some data of the subject
P12323	working memory type	specifies the type of working memory of this data object
P12324	production manager	manager that is responsible for the administration of a feature film or television production
P12325	Sayed Ganj Balochi Glossary ID	entry in the Qamosona online reproduction of Sayad Zahoor Shah Hashmi’s Balochi dictionary
P12326	Vazhaju word ID	identifier for an entry in the Vazhaju Tajik dictionary
P12327	Stage username	account from a German authority on the German social media platform Stage
P12328	simulates	item simulated, imitated, or made to appear real by this item
P12329	Qué series ver series ID	Qué series ver identification number of a creative work
P12330	Philippine middle name	maternal surname generally placed in the middle of this person's name
P12331	Baseball-Reference.com manager ID	identifier for an manager in the Baseball-Reference.com database
P12332	Playstation Store concept ID	identifier for a game available on the PlayStation Store
P12333	Pallaalcentro player ID	identifier for a player at the Pallaalcentro
P12334	Rowing Canada ID	athlete page on Rowing Canada
P12335	Rugby Database ID	identifier for a rugby union player on Rugby Database website
P12336	Encyclopedia of Cacti species ID	identifier for a species, subspecies, variety, form, or cultivar of cactus in the Encyclopedia of Cacti
P12337	Nebula channel ID	id of the channel on nebula.tv
P12338	fiba.basketball player ID	identifier for a basketball player at fiba.basketball
P12339	Académie de Stanislas member ID	
P12340	National Natural Parks System ID	identifier for a protected area on the National Natural Parks System's website (Colombia)
P12341	Bandcamp track ID	identifier for an audio track on Bandcamp
P12346	combines media	media files that composes this media file
P12347	NientePopCorn movie ID	identifier for a movie at NientePopCorn.it
P12348	NientePopCorn series ID	identifier for a series at NientePopCorn.it
P12349	NientePopCorn person ID	identifier for a person at NientePopCorn.it
P12350	Bavarian school ID	A 4-digit number used by the Ministry of Education of Bavaria to identify schools
P12351	BookBrainz edition ID	identifier for a specific edition of a work in BookBrainz
P12352	British Pathé asset ID	identifier for a film in the archive of British Pathé
P12353	CRIS Unique Site Number	identifier in the New York State Cultural Resource Information System
P12354	Great American Business Leaders of the 20th Century ID	ID of a person in Great American Business Leaders of the 20th Century
P12355	Merkur author page	Identifier for an author of the German intellectual magazine “Merkur”
P12356	Globoplay ID	identifier for a creative work on Globoplay
P12357	BindingDB ID	ID of a chemical compound in BindingDB
P12358	FFTT player ID	FFTT player licence identifier
P12359	Czech geological location ID	identifier for natural monuments and geological sites in Czechia
P12360	etymologiebank.nl ID	identifier for an entry in the online Dutch etymology dictionary hosted by Instituut voor de Nederlandse Taal
P12361	Bluesky handle	account handle on Bluesky
P12362	Parliament of Victoria ID	identifier of a person in the biographical register for the Parliament of Victoria website
P12363	clerked for	this person has held a clerkship with the judge
P12364	ArchDaily architecture office ID	identifier for an architectural company on ArchDaily
P12365	HistoryMakers Maker Directory ID	identifier for a person ("maker") in the HistoryMakers Maker Directory
P12366	OKRB 011-2022 code	identifier of specialty and qualification according to OKRB 011-2022
P12367	Plant Illustrations taxon ID	identifier for a taxon other than species on the Plant Illustrations website
P12368	Plant Illustrations species ID	identifier for a species on the Plant Illustrations website
P12369	Bantumen Powerlist 100	identifier for Bantumen's Powerlist, set of lists recognizing black people from Portuguese-speaking countries
P12370	International Hockey Federation competition ID	identifier for a field hockey competition on the International Hockey Federation website
P12371	IndExs Exsiccata editor ID	identifier in the IndExs online database for an editor of exsiccatae or exsiccata-like series
P12372	Luxembourg Olympic and Sports Committee profile ID	identifier for an athlete's profile at the official website of the Luxembourg Olympic and Sporting Committee, known in French as Comité Olympique et Sportif Luxembourgeois (COSL)
P12373	The Models Resource entity ID	identifier for a fictional character, item, location or other entity on The Models Resource
P12374	HbVar ID	identifier of a hemoglobin variant or thalassemia-causing mutation on the HbVar database website
P12375	TracesOfWar award ID	identifier for awards associated with post-18th-century wars in the TracesOfWar database
P12376	Latindex 2022 ID	identifier of a journal in the Latindex database (2022 version)
P12377	Flashback lexicon ID	identifier for the lexicon at flashback.se
P12378	VMH ID	ID for a topic in Virtual Metabolic Human database
P12379	protected heritage site in Brussels (web version) ID	identifier of a protected heritage site in Brussels, Belgium (web version)
P12380	Euro+Med PlantBase taxon ID	identifier for a plant taxon in the Euro+Med PlantBase
P12381	LoverFans ID	identifier for a person on the LoverFanswebsite
P12382	DigiListan artist ID	identifier for an international artist on DigiListan site
P12383	Letterboxd director ID	identifier for a film director on the online database Letterboxd
P12384	Letterboxd user ID	identifier for a user on Letterboxd
P12385	Gran Enciclopèdia Catalana ID	identifier for an item in the Gran Enciclopèdia Catalana
P12386	Dansk Forfatterleksikon ID	identifier for person in Dansk Forfatterleksikon
P12387	Qantas hotel ID	identifier of a hotel in the Qantas database
P12388	official list URL	URL of a website listing instances of the subject, maintained by the authority on the subject
P12389	Veterans Legacy Memorial ID	veterans by gravesites
P12390	China Animal Scientific Database dbb ID	identifier for an animal taxon of China in the China Animal Scientific Database (.../dbb/...)
P12391	National Library of Malaysia OPAC ID	identifier for an item in online public access catalogue of the National Library of Malaysia
P12392	Taiwan Biographical Database ID	ID for a person in The Taiwan Biographical Database by National Taiwan Normal University
P12393	IFOPT stop ID	
P12394	Jinji Koshinroku ID (1st edition)	ID of a person in 1st edition of Jinji Koshinroku
P12395	Jinji Koshinroku ID (4th edition)	ID of a person in 4th edition of Jinji Koshinroku
P12396	Jinji Koshinroku ID (8th edition)	ID of a person in 8th edition of Jinji Koshinroku
P12397	TheTVDB season ID	identifier for a TV season on the website TheTVDB.com
P12398	TheTVDB company ID	identifier for a company on the website TheTVDB.com
P12399	TheTVDB award ID	identifier for an award on the website TheTVDB.com
P12400	Kialo ID	Link to the structured Kialo debate tree about or most relevant to the subject.
P12401	Internet Dictionary of Polish Surnames ID	identifier in the nazwiska.ijp.pan.pl dictionary of surnames used in Poland
P12402	Myths on Maps ID	identifier for an entity (person, place, group) related to Greek mythology in the database Myths on Maps
P12403	Plants of Hawaiʻi ID	identifier for a taxon on the Plants of Hawaiʻi website
P12404	Kalliope.org author ID	identifier for person in the kalliope.org website
P12405	PteridoPortal taxon ID	identifier for a taxon on the PteridoPortal
P12406	Wörterbuch zur Verbvalenz sense ID	identifier for a sense in the verb valency dictionary at grammis.ids-mannheim.de
P12407	Laws of Malaysia URL	Uniform Resource Locator for laws of Malaysia
P12408	XWord Info author ID	identifier for a New York Times crossword (also variety or acrostic) puzzle constructor on XWord Info
P12409	Bluesky DID	the Bluesky decentralised identifier (DID) of the account
P12410	semantic derivation of	links a lexeme sense to a particular sense it is derived from
P12411	Unified Saudi Occupational Classification	identifier for job in Unified Saudi Occupational Classification
P12412	Lobbypedia ID	identifier on Lobbypedia.de
P12413	date of application	date of a application/request that led to a membership in an organisation, an employment or issuance of an identifier
P12414	ru.hayazg.info ID	identifier for a person in the Russian edition of the Armenian website hayazg.info
P12415	VD 17 ID	ID in the retrospective Union Catalogue of Books Printed in German Speaking Countries in the 17th Century (VD 17)
P12416	Dongqiudi.com team ID	association football team ID on the Dongqiudi.com
P12417	Environmental Performance Index	value of the EPI index for this country
P12418	Nintendo eShop (Europe) ID	identifier of a video game in Nintendo eShop (Europe)
P12419	Joseph Smith Papers person ID	ID of a person in Joseph Smith Papers Project
P12420	Il Nuovo De Mauro ID	identifier for an Italian lexeme in the Il Nuovo De Mauro online vocabulary
P12423	Sundance Institute Archive film ID	identifier for a film in the Sundance Institute Digital Archive
P12425	Sundance Institute Archive event ID	identifier for an event in the Sundance Institute Digital Archive
P12426	Sundance Institute Archive person ID	identifier for a person in the Sundance Institute Digital Archive
P12427	notify.moe anime ID	identifier for an anime television series on notify.moe
P12428	Swetrails POI-ID	identifier for POIs on the hiking website Swetrails
P12429	UT.no ID	identifier for a hiking destination for the Norwegian Trekking Association
P12430	The StoryGraph author ID	identifier for authors on book catalog site The StoryGraph
P12431	X place ID	identifier for a geographic location on X (formerly Twitter)
P12432	age of onset of sexual maturity	point in time after which an individual attains the ability to reproduce sexually
P12433	nixpkgs ID	nix attribute path in the nixpkgs unstable repo
P12434	Beta Code	representation of Ancient Greek as ASCII characters
P12435	Shamela author ID	author identifier in Shamela online book library
P12436	phonetic value	phonetic value of signs/characters
P12437	PROSPEROPatches game ID	identifier of a video game or application in the PROSPEROPatches database
P12438	ORBISPatches game ID	identifier of a video game or application in the ORBISPatches database
P12439	civil rank	non-military rank of a civil office holder in Russian Empire
P12440	Quake Wiki ID	identifier of an article on the Quake Wiki
P12441	Anglo-Norman Dictionary entry	entry for a lexeme in the online Anglo-Norman Dictionary
P12442	TopKar ID	identifier for a toponym in the database TopKar (Toponymy of Karelia)
P12443	has cabinet	value is the advisory committee to the item's head of state
P12444	Mindat taxon ID	ID of fossil taxa in Mindat.org database
P12445	China Animal Scientific Database taxon ID	identifier for an animal taxon of China in the China Animal Scientific Database (.../taxon/...)
P12446	ISCED field	mapping of a particular course or curriculum to the International Standard Classification of Education (ISCED)
P12447	Daryab Pashto Glossary ID	entry for a lexeme in the Qamosona online edition of the Daryab Pashto Glossary
P12448	Dictionary of American Regional English ID	identifier of an entry in the named record of American English as spoken in the United States
P12449	Dictionary of Old English ID	identifier of an entry in the University of Toronto Centre for Medieval Studies' Old English dictionary
P12450	Encyclopedia Mythica ID	ID of a topic in Encyclopedia Mythica
P12451	Arabic Ontology lexical concept ID	identifier for a lexical concept in the Birzeit University Arabic Ontology database of morphologic entities
P12452	appeals to	court or other body that hears appeals from subject's decisions
P12453	Great Plains Herbaria taxon ID	identifier for a plant taxon on the Great Plains Regional Herbarium Network website
P12454	location information URL	URL of a web page providing information on the locations of stores or other physical locations of a brand or operator
P12455	FrameNet frame ID	identifier of a concept in FrameNet
P12456	phonographic copyright	person or organization that holds the phonographic copyright
P12457	is invariant under	subject is unchanged by this process / function / group of transformation
P12458	Parsifal cluster ID	identifier for a cluster related to a person or an organization in Parsifal, the collective catalogue of the Unione romana biblioteche ecclesiastiche (Union of Roman ecclesiastical libraries)
P12459	Archives départementales de Vaucluse fonds ID	identifier of a fond at Archives départementales du Vaucluse
P12460	Dictionnaire du Moyen Français (1330-1500) ID (2020 version)	identifier for an entry in the Middle French dictionary (2020 version) hosted by Analyse et Traitement Informatique de la Langue Française
P12461	National Buildings Repository identifier	identifier of a building in the National Buildings Repository (France)
P12462	Location Memory building ID	identifier of a building on Location Memory
P12463	formatter URL for IIIF manifest	URL to generate IIIF manifest from specific ID
P12464	JSTOR Global Plants type specimen ID	identifier for the type specimen of a plant taxon, in JSTOR Global Plants
P12465	EDIT16 catalogue title ID	identifier of the EDIT16 catalogue about titles of 16th-century books
P12466	EDIT16 catalogue place ID	identifier of the EDIT16 catalogue about places of publication of 16th-century books
P12467	Trismegistos god ID	identifier for an ancient god in the database Trismegistos
P12468	PyPI trove classifier	standardized classification system for software, used and maintained by the Python Package Index
P12469	graduation rate	proportion of students who graduate from the institution in the given timeframe
P12470	normal graduation time	expected or typical duration of an educational program from matriculation to graduation
P12471	multiplier of normal graduation time	duration of study compared to the usual time required to graduate, used as the basis for an institution's reported graduation rate; qualifier for "graduation rate (P12469)"
P12472	Universal Spectrum Identifier	The Universal Spectrum Identifier (USI) is a compound identifier that provides an abstract path to refer to a single spectrum generated by a mass spectrometer, and potentially the ion that is thought to have produced it.
P12473	Weird Gloop article ID	identifier of an article on wiki hosted by Weird Gloop. Format: subdomain:Page_title
P12474	Kremlin.ru glossary ID	identifier on the website of the President of Russia
P12475	top scorer	best scorer of a single season of a team sport's competition or the best ever scorer of the history of a competition
P12476	filial church	church which acts as the less important temple of a parish
P12477	AniSearch anime ID	ID for an anime at AniSearch
P12478	Brazzers ID	identifier for a pornographic actor on Brazzers
P12479	Tekściory artist ID	identifier for an artist on Tekściory site
P12480	Hong Kong Cinema ID	identifier for film persons from the Hong Kong Cinema website
P12481	PlaymakerStats.com sports executive ID	identifier for a sports executive in the PlaymakerStats.com database
P12482	Műemlékem.hu identifier	identifier of a monument in Hungary in the Műemlékem.hu database
P12483	PMB – Personen der Moderne Basis person ID	numeric identifier for a person in the PMB – Personen der Moderne Basis web service with entities from Vienna around 1900
P12484	television judge	person who participates in a television show as a competition judge or mentor
P12485	British Listed Buildings ID	identifier for the British Listed Buildings website
P12486	GNM ID	identifier for an item on the Germanisches Nationalmuseum (Nuremberg) website
P12487	2GIS place-ID	identifier 2GIS of a place
P12488	2GIS route-ID	identifier 2GIS of a route
P12489	livechart.me anime ID	ID for an anime at livechart.me
P12490	Papers with Code URL	URL for subject in Papers with Code system
P12491	SMIRKS	line notation that represents generic chemical reactions
P12492	Trakt.tv film ID	identifier for a film in the Trakt.tv database
P12494	NACSIS-CAT library ID	identifier for a library (or other organization) participating in the NACSIS-CAT union catalog
P12495	Epigraphic Database Roma ID	identifier for an inscription in the Epigraphic Database Roma
P12496	WhatPub pub ID	identifier for a pub on WhatPub
P12498	JAHIS Law Database ID	identifier for law/regulation entry in full-text database of acts (1886-2017) and imperial ordinances (1886-1947) in Japan
P12499	literatura.kg person ID	identifier for a person at the literatura.kg
P12500	nagrada.srs.kg person ID	identifier for a person at the nagrada.srs.kg
P12501	who.ca-news.org person ID	identifier for a person at the who.ca-news.org
P12502	UCA authority ID	identifier for an authority in the catalog of the Library of the University of Cádiz (UCA)
P12503	thesaurus's main topic	primary topic of the subject Wikimedia thesaurus
P12504	thesaurus combines topics	this theasurus combines (intersects) these two or more topics
P12505	topic's main thesaurus	main Wikimedia thesaurus for this topic
P12506	latest end date	latest date beyond which the statement could no longer be true
P12507	European Union trademark number	identifier of the European Union trademark number issued by European Union Intellectual Property Office (EUIPO)
P12508	ONIX codelist ID	identifier used in the ONIX standard by the publishing industry
P12509	GCatholic episcopal conference ID	identifier for an episcopal conference in the GCatholic database
P12510	Oxford English Dictionary object ID (post-July 2023)	identifier for an entry (or sub-entry) in the Oxford English Dictionary, as the suffix to a DOI issued by the OED
P12511	2nd German Basketball Bundesliga ID	unique identifier of a player in der second German basketball league
P12512	Tashrihi Qamos Pashto Glossary ID	identifier for a lexeme in the Tashrihi Qamos Pashto Glossary by the Academy of Sciences Kabul
P12513	nimi.li ID	identifier for a lexeme in the nimi.li database
P12514	Nye ord i dansk ID	identifier for the database for new words curated by Dansk Sprognævn
P12515	OHDSI ID	identifier for a medical-related concept in the Athena vocabulary, run by OHDSI
P12516	rug style	classification of an individual textile floor covering based on geographic or cultural origin, structure, or pattern
P12517	Consortium of Midwest Herbaria taxon ID	identifier for a plant taxon on the Consortium of Midwest Herbaria website
P12518	Encyclopedia Astronautica ID	ID of a topic in Encyclopedia Astronautica
P12519	Spesalay Pashto (Dari/Persian Dictionary) ID	entry in the Qamosona online reproduction of the Spesalay Dari–Pashto dictionary
P12520	Italian Senate (1848-1943) ID	identifier of a member of the Senate of the Kingdom of Sardinia or of the Senate of the Kingdom of Italy on the Italian Senate website
P12521	ICANNWiki page ID	identifier of an article page in the ICANNWiki wiki
P12522	Dictionary of Gandhari ID	identifier for a lexeme in A Dictionary of Gāndhārī
P12523	FSA Food Hygiene Rating System ID	
P12524	Finnish Service Catalogue organization ID	
P12525	Köztérkép creator ID	identifier for an author of the Köztérkép (Hungarian sculptors, visual artists, contributors)
P12526	performing organization	organization that received funding to create this entity
P12527	form decomposition	decomposition of a word
P12528	TNHR&CE temple ID	identifier for temples, mutts, charitable endowments and specific endowments supervising by TNHR&CE
P12529	Diccionario de la lengua española entry ID	identifier for an entry in the Spanish Language Dictionary of the Spanish Royal Academy
P12530	Malaysia company new number	identifier for companies in Malaysia
P12531	GARAE ID	identifier for a French ethnographer in the GARAE database
P12532	Oyez Project ID	identifier for a court case, justice, or advocate in the Oyez Project website
P12533	Gematsu event ID	identifier of an event in the Gematsu database
P12534	Singapore Infopedia ID	identifier of Singapore Infopedia articles
P12535	OSL ID	identifier of a cuneiform sign in the Oracc Sign List
P12536	Combine OverWiki ID	identifier of an article on Combine OverWiki
P12537	EJAtlas ID	identifier for an environmental issue, conflict, disaster, etc. in the Environmental Justice Atlas
P12538	Galician Authors in the BUSC ID	identifier of an galician author in the Library of the University of Santiago de Compostela (BUSC)
P12539	Premier League player ID	identifier for a player's profile on the English Premier League official website
P12541	Ludzie Nauki ID (new)	identifier in the Ludzie Nauki, the new official database of Polish scientists
P12542	WhatsApp channel ID	identifier of the channel on WhatsApp
P12543	Portal Wiki ID	identifier of an article on Portal Wiki
P12544	RatingGraph TV show ID	identifier for a TV show on the RatingGraph site
P12545	nanopublication identifier	RDF-based publication, with references and history
P12546	Instagram account numeric ID	unique numeric identifier for Instagram accounts
P12547	Doom Wiki ID	identifier of an article on Doom Wiki
P12548	media modality	which media modalities are present in a creative work, particularly in digital, multimodal works such as electronic literature
P12549	height of letters	height of the letters of an inscription
P12550	DWDS sense ID	url slug of a sense in DWDS
P12551	11v11 player ID	identifier for a player's profile on the 11v11.com website
P12552	Hyatt hotel ID	5-letter identifier for hotels under the Hyatt brand
P12553	ECF rating code	identifier for a chess player issued by the English Chess Federation
P12554	CalPhotos taxon ID	identifier for a plant, animal, or fossil species or subspecies on the CalPhotos website
P12558	TMDB season ID	identifier for a television series season at The Movie Database
P12559	TMDB episode ID	identifier for a television series episode at The Movie Database
P12560	ASM Mammal Diversity Database ID	identifier for a mammal species in the American Society of Mammalogists Mammal Diversity Database
P12561	SteamGridDB ID	identifier for a video game, emulator, software, program, operative system, video game console or website in the SteamGridDB
P12562	Amazon Luna game ID	identifier of a video game in the Amazon Luna database
P12563	Imagehash difference hash	hash which tells whether two images look nearly identical
P12564	Triton Poker player ID	identifier of a poker player in Triton Poker
P12565	image of construction	image showing the building/object/work under construction
P12566	Traineras rower ID	identifier in Traineras website which lists competetive rowers and their results
P12567	StatMuse Premier League player ID	identifier for a Premier League player's profile on the StatMuse website
P12568	AllSkaters person ID	identifier for a person on AllSkaters
P12569	DoblajeVideojuegos dub actor ID	identifier for a dubbing actor in the DoblajeVideojuegos database
P12570	IsThereAnyDeal ID	identifier for a video game, downloadable content or video game bundle on IsThereAnyDeal
P12571	derived from base unit	the base unit(s) that this derived unit is derived from
P12572	Algerian National Library ID	identifier for the subject issued by the ANL (Algerian national library), alias: ANL ID ; BNA ID; NLA ID
P12573	Lisaan Masry Egyptian Arabic Dictionary ID	entry for a lexeme in the online Lisaan Masry Egyptian Arabic Dictionary
P12574	International Classification of Nonprofit Organizations	industry classification for nonprofit organization created by the Johns Hopkins University and adapted by the United Nations
P12575	Encyclopaedia of the Qur'ān ID	identifier of an article from the Encyclopaedia of the Qur'ān
P12576	Brazilian Football Confederation player ID	identifier for football player on site Brazilian Football Confederation
P12577	BeSoccer player ID	identifier for a player's profile on the BeSoccer website
P12578	A New Nation Votes ID	ID of a person in A New Nation Votes: American Electoral Returns, 1788-1825
P12579	istina.msu.ru person ID	identifier for a person at the istina.msu.ru
P12580	KupiGolos game ID	identifier of a video game in the KupiGolos database
P12581	Oskar Schindler Archive agent ID	
P12582	Oxford Reference overview ID	identifier for an overview page for a topic in the Oxford Reference
P12583	RTE substation ID	identifier of electrical substations operated by RTE in France
P12584	Theatrical Index company ID	identifier for a theatrical production company or other business listed in Theatrical Index
P12585	Touhou Wiki ID	identifier for an subject in the Touhou Wiki. Format: Page_title or language code:Page_title for non-English wiki articles
P12586	Traineras club ID	Identifier in Traineras website which lists competetive clubs and their results
P12587	Traineras competition ID	identifier in Traineras website which lists competitions and their results
P12588	Slovenian organization number	official ID for organizations and companies in Slovenia
P12589	Featherbase ID	identifier for an entry in the Featherbase database about bird feathers
P12590	TUESPWiki ID	identifier for an subject in the The Unofficial Elder Scrolls Pages
P12591	Theatrical Index theatre ID	identifier for a theatre listed in Theatrical Index
P12592	Supreme Court of Canada case number	identifier for a case in the Supreme Court of Canada
P12593	SNS Info Saúde	identifier for a health condition in the SNS Info Saúde database
P12594	OSHA Occupational Chemical Database ID	
P12595	National Library of Uruguay authority ID	authority control identifier used at the National Library of Uruguay
P12596	museum-digital tag ID	numeric identifier for keywords used in the description of cultural heritage objects in Museum-Digital
P12597	museum-digital person ID	identification of a person or institution in the vocabulary of the digital museum
P12598	government.ru person ID	identifier for a minister or senior official on government.ru
P12599	arch2.iofe.center person ID	identifier for a person at the arch2.iofe.center
P12600	Digital Athenaeus Catalog author ID	
P12601	China Ministry of Industry and Information Technology ID	
P12602	BFO class ID	identifier for Basic Formal Ontology, the upper-level ontology upon which OBO Foundry ontologies are built
P12603	identifiant Sculpturo	
P12604	Michigan Historical Marker ID	identifier of a historical marker in the Michigan Historical Marker Program
P12605	API formatter URL	URI template from which "$1" can automatically be replaced with the effective property value on items; for API access and other machine-readable data
P12606	Barry Hugman's Footballers player ID	identifier for a player's profile on the Barry Hugman's Footballers website
P12607	droitne.ch author ID	legal author identifier in thedroitne.ch database
P12608	Statbunker player ID	identifier for a profile on the Statbunker.com website
P12609	ffspb.org player ID	identifier for a player at the ffspb.org
P12610	beachsoccer.com team ID	identifier for a sports team in the BSWW database
P12612	WildTangent Games ID	identifier for a game on WildTangent Games
P12613	HCERES organisation ID	identifier for an organisation on the website of High Council for the Evaluation of Research and Higher Education
P12614	az.lib.ru author ID	identifier for an author on az.lib.ru
P12615	Hanslick Online person ID	person in the Hanslick Online database
P12616	leaf morphology	characterization of aspects of the shape of a plant’s leaves
P12617	creative director	person who makes high-level creative decisions
